Date,Open,High,Low,Close,Adj Close,Volume
2006-01-27,127.336998,127.336998,105.310997,113.574997,41.893841,45246
2006-01-30,111.112000,112.980003,107.179001,111.147003,40.998234,2929
2006-01-31,111.406998,111.406998,109.146004,109.146004,40.260139,21021
2006-02-01,113.069000,113.069000,100.393997,103.900002,38.325077,915
2006-02-02,103.246002,105.211998,100.393997,101.235001,37.342049,4607
2006-02-03,100.393997,100.393997,96.559402,99.312698,36.632973,5685
2006-02-06,99.312698,99.312698,92.429604,95.379501,36.467335,8848
2006-02-07,96.362801,100.737999,93.211304,97.862297,37.416618,27093
2006-02-08,98.329399,98.329399,94.396202,95.689201,36.585751,2176
2006-02-10,95.763000,97.223198,95.379501,95.497498,36.512466,114716
2006-02-13,95.541702,100.197998,93.904602,98.545700,37.677906,36703
2006-02-14,101.278999,102.263000,98.329399,98.934097,37.826401,36429
2006-02-15,106.097000,106.097000,95.084503,97.523102,37.286930,6671
2006-02-16,101.672997,101.672997,95.487701,95.585999,36.546295,2919
2006-02-17,99.214302,99.214302,95.477798,95.861298,36.651550,824
2006-02-20,95.379501,95.871101,91.564301,94.887901,36.279388,3905
2006-02-21,94.873100,94.887901,91.446297,91.505302,34.986092,2207
2006-02-22,92.532898,93.403099,89.022499,90.389297,34.559391,4343
2006-02-23,89.681297,92.282097,88.496498,90.462997,34.587578,267590
2006-02-24,90.462997,91.544701,90.462997,90.944801,34.771790,3509
2006-02-27,88.496498,90.959602,88.348999,88.407997,33.801861,5136
2006-02-28,90.167999,98.231003,83.781502,98.231003,37.557598,5675
2006-03-01,89.528900,96.854401,89.528900,95.615501,36.557571,1881
2006-03-02,98.427696,98.427696,93.707901,93.978302,35.931618,2146
2006-03-03,93.442398,95.871101,90.561401,90.561401,34.625214,3976
2006-03-06,91.682297,94.691200,90.462997,91.441399,34.961666,17045
2006-03-07,90.954697,93.412903,88.988098,91.087402,34.826309,166664
2006-03-08,86.662598,93.412903,86.662598,90.462997,34.587578,21865
2006-03-09,89.676399,93.206398,89.676399,91.249702,34.888363,1068
2006-03-10,93.112999,93.112999,90.462997,90.462997,34.587578,20065
2006-03-13,81.780502,92.262497,81.780502,90.079597,34.440979,24062
2006-03-14,92.331299,92.385399,89.519096,90.084503,34.442856,4892
2006-03-16,88.668503,90.462997,88.668503,90.428596,34.574417,4404
2006-03-17,83.580002,93.412903,83.580002,87.881897,33.600708,10617
2006-03-20,89.479698,89.479698,84.120796,88.496498,33.835701,13699
2006-03-21,87.513199,88.476799,86.869102,88.147400,33.702232,31913
2006-03-22,88.004799,89.184799,87.513199,88.988098,34.023663,5207
2006-03-23,85.713699,90.050003,85.713699,87.478699,33.446556,51307
2006-03-24,86.234901,89.479698,86.234901,88.732399,33.925896,125781
