Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,2663.000000,2720.000000,2660.000000,2677.600098,2669.973145,13395
2017-11-10,2659.000000,2713.899902,2659.000000,2695.300049,2687.622803,17773
2017-11-13,2695.000000,2725.000000,2683.449951,2704.850098,2697.145264,16599
2017-11-14,2686.800049,2750.000000,2686.800049,2731.199951,2723.420166,18111
2017-11-15,2750.000000,2769.550049,2665.000000,2689.949951,2682.287842,29166
2017-11-16,2700.000000,2794.000000,2677.050049,2763.500000,2755.628418,237338
2017-11-17,2774.000000,2919.000000,2753.149902,2894.050049,2885.806641,251370
2017-11-20,2907.000000,3136.000000,2860.050049,3117.000000,3108.121338,407542
2017-11-21,3134.000000,3174.000000,3036.699951,3088.100098,3079.303711,190889
2017-11-22,3103.550049,3144.300049,3011.050049,3106.000000,3097.152832,93803
2017-11-23,3100.300049,3218.000000,3074.350098,3196.300049,3187.195557,168473
2017-11-24,3203.199951,3250.000000,3151.000000,3235.100098,3225.885010,88082
2017-11-27,3221.000000,3300.000000,3196.800049,3293.850098,3284.467529,89598
2017-11-28,3295.000000,3384.000000,3290.000000,3364.600098,3355.016113,114204
2017-11-29,3361.000000,3499.949951,3355.000000,3447.550049,3437.729980,146228
2017-11-30,3435.000000,3555.899902,3420.000000,3519.649902,3509.624512,136538
2017-12-01,3530.000000,3623.800049,3355.100098,3402.300049,3392.608643,109472
2017-12-04,3412.000000,3495.000000,3323.000000,3390.399902,3380.742432,53668
2017-12-05,3390.000000,3425.000000,3360.000000,3392.399902,3382.737061,46431
2017-12-06,3370.000000,3495.000000,3370.000000,3437.800049,3428.007813,39337
2017-12-07,3474.000000,3535.000000,3450.000000,3507.350098,3497.359619,36492
2017-12-08,3530.000000,3575.399902,3488.000000,3521.850098,3511.818604,26521
2017-12-11,3530.100098,3548.250000,3437.000000,3449.899902,3440.072998,18431
2017-12-12,3467.000000,3469.050049,3351.000000,3370.750000,3361.148682,22691
2017-12-13,3370.000000,3417.649902,3240.000000,3265.199951,3255.899170,29020
2017-12-14,3287.949951,3288.949951,3180.000000,3204.699951,3195.571533,16798
2017-12-15,3230.000000,3329.000000,3130.000000,3195.300049,3186.198486,63216
2017-12-18,3185.000000,3559.899902,3160.000000,3501.250000,3491.276855,132984
